,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
29,62637,county,63,37682,2577,466,31957,8872,40829,0.7827,1986,2552.4683,1.414893,"{'t1990-99': 8686, 't1980-89': 5087, 't2010-19': 3820, 't1969': 6662, 't2000-09': 10121, 't1970-79': 6453}","{'a125': 6795, 'a75': 1286, 'a50': 5654, 'a25': 21624, 'a3': 3423, 'a1': 807, 'a2': 1240}"
30,20815,county,76,37020,712,284,27920,12156,40076,0.6967,1999,1731.7377,0.91908234,"{'t1990-99': 3172, 't1980-89': 1452, 't2010-19': 5196, 't1969': 2620, 't2000-09': 26412, 't1970-79': 1224}","{'a125': 10924, 'a75': 1104, 'a50': 4484, 'a25': 18920, 'a3': 2728, 'a1': 852, 'a2': 1064}"
31,22266,county,1,140,0,4,76,69,145,0.5241,1965,1572.2124,6.439934,"{'t1990-99': 18, 't1980-89': 15, 't2010-19': 1, 't1969': 69, 't2000-09': 18, 't1970-79': 24}","{'a125': 2, 'a75': 14, 'a50': 43, 'a25': 20, 'a3': 43, 'a1': 11, 'a2': 12}"
32,22026,county,7,1156,3,56,770,453,1223,0.6296,1971,1745.5574,7.6941357,"{'t1990-99': 153, 't1980-89': 99, 't2010-19': 22, 't1969': 471, 't2000-09': 357, 't1970-79': 121}","{'a125': 10, 'a75': 92, 'a50': 191, 'a25': 53, 'a3': 566, 'a1': 110, 'a2': 201}"
33,26865,county,8,1848,2,10,1330,544,1874,0.7097,1951,1548.3796,1.079656,"{'t1990-99': 166, 't1980-89': 72, 't2010-19': 34, 't1969': 1172, 't2000-09': 218, 't1970-79': 212}","{'a125': 16, 'a75': 216, 'a50': 794, 'a25': 416, 'a3': 186, 'a1': 110, 'a2': 136}"
34,30036,county,0,4,0,0,1,3,4,0.25,1950,1641.0,0.39500389,"{'t1969': 3, 't1980-89': 1}","{'a1': 1, 'a50': 1, 'a25': 2}"
35,15634,county,0,7575,33,27,6294,1344,7638,0.824,1988,1974.2908,3.8005424,"{'t1990-99': 2070, 't1980-89': 582, 't2010-19': 444, 't1969': 1146, 't2000-09': 2844, 't1970-79': 552}","{'a125': 93, 'a75': 1059, 'a50': 1728, 'a25': 1482, 'a3': 1896, 'a1': 678, 'a2': 702}"
36,50498,county,0,103,0,1,66,38,104,0.6346,1961,1780.1228,1.4186841,"{'t1990-99': 9, 't1980-89': 12, 't1969': 51, 't2000-09': 13, 't1970-79': 19}","{'a125': 9, 'a75': 9, 'a50': 29, 'a25': 45, 'a3': 8, 'a1': 1, 'a2': 3}"
37,37969,county,9,8100,192,36,7371,993,8364,0.8813,1972,2292.9138,6.2667966,"{'t1990-99': 1413, 't1980-89': 1065, 't2010-19': 171, 't1969': 2721, 't2000-09': 1344, 't1970-79': 1650}","{'a125': 222, 'a75': 348, 'a50': 1104, 'a25': 456, 'a3': 4392, 'a1': 534, 'a2': 1308}"
38,72310,county,253,21519,271,360,17112,5501,22613,0.7567,1975,2114.9307,1.3747333,"{'t1990-99': 3836, 't1980-89': 1343, 't2010-19': 1590, 't1969': 7363, 't2000-09': 5523, 't1970-79': 2958}","{'a125': 4072, 'a75': 850, 'a50': 4224, 'a25': 8569, 'a3': 3184, 'a1': 689, 'a2': 1025}"
39,16280,county,1,436,0,4,345,96,441,0.7823,1978,1949.0482,6.1604347,"{'t1990-99': 47, 't1980-89': 33, 't2010-19': 21, 't1969': 127, 't2000-09': 180, 't1970-79': 33}","{'a75': 28, 'a50': 30, 'a25': 5, 'a3': 178, 'a1': 76, 'a2': 124}"
40,12181,county,186,14376,1875,66,14241,2478,16719,0.8518,1967,2270.378,1.1653655,"{'t1990-99': 1848, 't1980-89': 1818, 't2010-19': 318, 't1969': 7629, 't2000-09': 3456, 't1970-79': 1650}","{'a125': 3192, 'a75': 1152, 'a50': 3759, 'a25': 3864, 'a3': 1737, 'a1': 1086, 'a2': 1929}"
41,69403,county,100,13185,1366,161,9573,5242,14815,0.6462,1973,5949.28,1.686119,"{'t1990-99': 1697, 't1980-89': 1880, 't2010-19': 327, 't1969': 6182, 't2000-09': 2477, 't1970-79': 2252}","{'a125': 3114, 'a75': 438, 'a50': 1676, 'a25': 7569, 'a3': 1156, 'a1': 326, 'a2': 536}"
42,37871,county,0,71,0,2,55,18,73,0.7534,1944,1729.7778,0.75657624,"{'t1990-99': 1, 't1980-89': 2, 't1969': 58, 't2000-09': 3, 't1970-79': 9}","{'a125': 7, 'a75': 2, 'a50': 17, 'a25': 36, 'a3': 8, 'a2': 3}"
43,22714,county,2,336,0,6,196,148,344,0.5698,1974,1549.884,5.055308,"{'t1990-99': 52, 't1980-89': 36, 't1969': 130, 't2000-09': 68, 't1970-79': 58}","{'a75': 56, 'a50': 52, 'a25': 16, 'a3': 116, 'a1': 46, 'a2': 58}"
44,59377,county,0,3,0,0,1,2,3,0.3333,1981,2512.0,0.7909985,"{'t1969': 1, 't2000-09': 1, 't1990-99': 1}","{'a50': 1, 'a2': 2}"
